"filename", "language", "SQL", "XML", "Java Properties", "Java", "Batch", "comment", "blank", "total"
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaClientes$1.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaClientes$2.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaClientes$3.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaClientes$4.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaClientes$5.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaClientes.class", "Java", 0, 0, 0, 115, 0, 33, 0, 148
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaFacturas$1.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaFacturas$2.class", "Java", 0, 0, 0, 14, 0, 0, 0, 14
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaFacturas$3.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaFacturas$4.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaFacturas$5.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaFacturas$6.class", "Java", 0, 0, 0, 14, 0, 0, 0, 14
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaFacturas$7.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaFacturas$8.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaFacturas$9.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaFacturas.class", "Java", 0, 0, 0, 194, 0, 0, 1, 195
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_ConsultaProductos$1.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
